arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,75,-3.7202111892914993,300,0.954143226146698,0.9284234642982483,0,-3.7202111892914993,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,76,-3.7823418218032874,300,0.9527339339256287,0.9012380242347717,0,-3.7823418218032874,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,77,-0.7455138220688846,162,0.9618096351623535,0.949999988079071,1,-0.7455138220688846,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,78,-3.7348897140083728,300,0.9529758095741272,0.9035355448722839,0,-3.7348897140083728,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,79,-3.6813167887308618,300,0.960590660572052,0.9247679114341736,0,-3.6813167887308618,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,80,-3.7915918605532912,300,0.9148670434951782,0.6837906241416931,0,-3.7915918605532912,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,81,-4.115123014429284,300,0.838101863861084,0.20000000298023224,0,-4.115123014429284,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,82,-4.1328425148421815,300,0.8139468431472778,0.19427898526191711,0,-4.1328425148421815,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,83,1.8390495737500596,46,0.9531553983688354,0.949999988079071,1,1.8390495737500596,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,84,-3.889522970228828,300,0.8579341769218445,0.3205227255821228,0,-3.889522970228828,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,85,2.2819604837304213,23,0.9511199593544006,0.949999988079071,1,2.2819604837304213,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,86,-3.703845818049637,300,0.9463902115821838,0.8662986159324646,0,-3.703845818049637,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,87,-4.188708785435288,300,0.8007845878601074,0.3988420069217682,0,-4.188708785435288,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,88,-3.903911402136131,300,0.8631462454795837,0.3477018177509308,0,-3.903911402136131,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,89,-3.6126538368538488,300,0.9255190491676331,0.7743884325027466,0,-3.6126538368538488,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,90,-4.021383571208556,300,0.846563458442688,0.3205227255821228,0,-4.021383571208556,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,91,-4.141985466136234,300,0.7913905382156372,0.20000000298023224,0,-4.141985466136234,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,92,1.4322365433055664,67,0.956647515296936,0.949999988079071,1,1.4322365433055664,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
