episode,reward,steps,mastery
183,1.0886696038123775,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
184,0.8637435193464627,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
185,3.9471443829112105,236,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
186,1.1375781890177679,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
187,1.1315365275695513,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
188,1.0075766281432152,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
189,4.276757588172768,197,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
190,1.3065183440787225,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
191,4.190139519263175,212,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
192,4.116795795726648,121,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
193,3.9621814794052623,100,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
194,3.946009121868701,126,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
195,1.0320536398146942,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
196,1.2683645021120356,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
197,0.982017021055799,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
198,1.1942153118347052,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
199,4.353721104571013,291,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
200,1.0479563723420144,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
201,4.161031900398666,217,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
202,4.123419442650629,98,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
203,1.153035136366816,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
204,0.9445796535670525,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
205,4.115008654407211,213,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
206,3.9932826413401927,88,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
207,0.9107495183976427,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
208,3.991598483111739,88,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
209,0.965139808348613,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
210,4.0731998263145215,78,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
211,1.0100434831081657,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
212,4.256449214796885,138,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
213,4.128753140357003,180,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
214,0.9852185855401332,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
215,4.137825839553262,252,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
216,4.309189149645681,98,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
217,4.1090451227224545,57,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
218,4.180431377147761,261,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
219,1.0632224402565045,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
220,1.020289517089259,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
221,1.0181483731983465,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
222,4.293010799198237,274,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
223,4.289692524267593,102,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
224,0.9855114762685844,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
225,3.996042184306134,184,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
226,4.131551691242203,127,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
227,1.2414861863373519,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
228,0.9907731518833317,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
229,4.112442691980687,243,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
230,4.0385346243783715,97,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
231,1.0112737300019945,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
232,0.8801374107089941,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
233,1.1059365132605308,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
234,4.273935852844443,159,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
235,4.162795766527415,139,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
236,4.252977050631307,168,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
237,1.0416740775661313,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
238,3.996975418840884,45,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
239,3.997718997098855,46,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
240,4.1173180074911215,61,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
241,0.9729506944728202,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
242,0.9289965119620323,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
243,3.896839565964183,76,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
244,4.234416994905041,46,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
245,4.192268191413314,71,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
246,4.250629960135848,66,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
247,4.0974923759466035,89,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
248,0.9801056707234239,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
249,0.9853850405070261,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
250,4.201504383367137,134,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
251,1.1074947474691728,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
252,4.067838201596169,49,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
253,3.9314040725716044,203,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
254,4.1630112597136755,63,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
255,4.0936671958610535,99,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
256,4.190724813746056,109,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
257,4.0448992354498845,160,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
258,3.9424314890566166,84,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
259,4.1298281749579475,74,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
260,1.047207594500651,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
261,4.148267083871178,53,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
262,4.159243333284394,140,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
263,4.083494774215069,98,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
264,3.957616956057609,45,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
265,4.14242343774531,65,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
266,3.99434529011487,42,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
267,1.0911094143151787,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
268,1.1272348654951203,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
269,4.071570769810933,40,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
