PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      986    0.001    0.000    0.006    0.000 _builtins.py:199(_register_builtin)
      911    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1014    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      911    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      650    0.001    0.000    0.031    0.000 re.py:288(_compile)
      113    0.001    0.000    0.522    0.005 custom_ops.py:144(inner)
 1049/816    0.001    0.000    0.005    0.000 _pytree.py:1272(helper)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._autograd_init}
     8143    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
      549    0.001    0.000    0.065    0.000 __init__.py:205(decomposition_decorator)
     3465    0.001    0.000    0.003    0.000 sre_parse.py:255(get)
     1830    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
      949    0.001    0.000    0.072    0.000 inspect.py:3252(signature)
     36/1    0.001    0.000    0.003    0.003 __init__.py:1061(_import_extension_to_sys_modules)
      100    0.001    0.000    0.015    0.000 __init__.py:567(_make_inplace)
     5819    0.001    0.000    0.001    0.000 typing.py:1022(<genexpr>)
      911    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      949    0.001    0.000    0.333    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
   567/60    0.001    0.000    2.194    0.037 {built-in method builtins.__import__}
   280/84    0.001    0.000    0.017    0.000 sre_parse.py:436(_parse_sub)
       69    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
      457    0.001    0.000    0.003    0.000 wrappers.py:233(out_wrapper)
     2889    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      113    0.001    0.000    0.011    0.000 fake_impl.py:34(register)
      972    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     4087    0.001    0.000    0.001    0.000 inspect.py:823(<genexpr>)
       56    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     3789    0.001    0.000    0.001    0.000 dataclasses.py:424(<genexpr>)
     1291    0.001    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      228    0.001    0.000    0.003    0.000 inspect.py:1959(_signature_bound_method)
      949    0.001    0.000    0.071    0.000 inspect.py:2998(from_callable)
     2375    0.001    0.000    0.008    0.000 typing.py:515(<genexpr>)
     1071    0.001    0.000    0.001    0.000 {built-in method nt.getcwd}
      989    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:169(__enter__)
      287    0.001    0.000    0.003    0.000 dataclasses.py:227(_recursive_repr)
      968    0.001    0.000    0.002    0.000 __init__.py:89(find_spec)
      448    0.001    0.000    0.009    0.000 autograd.py:99(<genexpr>)
  1255/10    0.001    0.000    2.881    0.288 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      549    0.001    0.000    0.003    0.000 __init__.py:177(register_decomposition)
      287    0.001    0.000    0.023    0.000 dataclasses.py:587(_repr_fn)
      575    0.001    0.000    0.004    0.000 inspect.py:2721(__str__)
      127    0.001    0.000    0.001    0.000 {built-in method torch._C._dispatch_library}
      978    0.001    0.000    0.009    0.000 _ops.py:1183(_schemas)
      113    0.001    0.000    0.383    0.003 library.py:187(_register_fake)
      913    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      911    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     2419    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     6377    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      113    0.001    0.000    0.514    0.005 custom_ops.py:185(__init__)
      337    0.001    0.000    0.021    0.000 typing.py:523(Optional)
     4772    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
  846/837    0.001    0.000    0.002    0.000 typing.py:1247(__hash__)
      113    0.001    0.000    0.357    0.003 inspect.py:1604(getframeinfo)
      220    0.001    0.000    0.001    0.000 utils.py:122(is_tensor_like_type)
     2354    0.001    0.000    0.001    0.000 inspect.py:277(isfunction)
 1115/778    0.001    0.000    0.049    0.000 typing.py:401(__getitem__)
       18    0.001    0.000    0.050    0.003 utils.py:1(<module>)
      471    0.001    0.000    0.007    0.000 {built-in method builtins.sorted}
      247    0.001    0.000    0.006    0.000 textwrap.py:422(dedent)
     3205    0.001    0.000    0.001    0.000 enum.py:678(__new__)
     1175    0.001    0.000    0.001    0.000 _pytree.py:675(is_namedtuple_class)
      899    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
     2734    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     6283    0.001    0.000    0.001    0.000 inspect.py:2699(kind)
      673    0.001    0.000    0.001    0.000 dataclasses.py:400(_tuple_str)
      265    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      460    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     5370    0.001    0.000    0.001    0.000 inspect.py:2687(name)
       63    0.001    0.000    0.008    0.000 typing.py:532(Literal)
      289    0.001    0.000    0.001    0.000 dataclasses.py:391(_fields_in_init_order)
2115/2104    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
